energy_eV,mu,od,mass_absorption,beta,delta,i0,theta_deg,phi_deg
286.649960,4.48609738e+4,1.23830424138165,44860.9738490941,0.00154409233515737,0.0174895542038971,,55,0
286.700410,4.34768438e+4,1.19826045576303,43476.8438118445,0.00149618794290157,0.0178929350952988,,55,0
286.751130,4.18075834e+4,1.14996766348257,41807.5834423415,0.00143848846200864,0.0185908096828546,,55,0
286.798610,4.00076772e+4,1.0978952014481,40007.6772221381,0.00137633055395217,0.0196494593652851,,55,0
286.850070,3.89006442e+4,1.06586801351622,38900.6442046466,0.00133800670197547,0.020950727914794,,55,0
286.899570,3.79685011e+4,1.03890050504819,37968.5011036951,0.00130571986340662,0.0223409849901431,,55,0
286.950070,3.80873967e+4,1.04234023347742,38087.3967416906,0.00130957811985264,0.0235979449963857,,55,0
286.999970,3.83618210e+4,1.05027950550143,38361.8209678861,0.0013187844522755,0.0246064364342641,,55,0
287.050230,3.84706552e+4,1.05342815032908,38470.6551806174,0.00132229434033524,0.025676974841613,,55,0
287.100680,3.96364911e+4,1.08715654603951,39636.4911496655,0.00136212647978062,0.0264872704633471,,55,0
287.150240,4.08443027e+4,1.12209932184353,40844.3026696818,0.0014033912285055,0.0269100580559801,,55,0
287.200380,4.20812685e+4,1.15788555215292,42081.2685440603,0.00144564037342343,0.026958828309577,,55,0
287.250150,4.19307559e+4,1.15353112377183,41930.7559233322,0.00144022015169413,0.0272910014164843,,55,0
287.299740,4.30466771e+4,1.18581545193128,43046.6770993048,0.00147829413952461,0.0275286832850042,,55,0
287.350010,4.37155810e+4,1.2051672789943,43715.5810178476,0.00150100277067298,0.0275714899380105,,55,0
287.400390,4.42601664e+4,1.22092249077022,44260.1664391655,0.00151943506676172,0.0275472594124717,,55,0
287.450810,4.42972048e+4,1.22199403438126,44297.2047879468,0.00152043984161078,0.0276221285014287,,55,0
287.502170,4.42728137e+4,1.22128838371057,44272.8136802128,0.00151933118576418,0.0278585479589478,,55,0
287.550350,4.42681699e+4,1.22115403577143,44268.1698880454,0.00151891728034263,0.0281677866040925,,55,0
287.599980,4.39487337e+4,1.21191253910905,43948.7337278038,0.00150769665239261,0.0287370141504395,,55,0
287.649960,4.42026342e+4,1.2192580450805,44202.6341844368,0.00151614343171345,0.0294348319663122,,55,0
287.699890,4.46595064e+4,1.23247565755903,44659.5064348904,0.00153154823372017,0.0301507644177455,,55,0
287.751040,4.57048487e+4,1.26271809143769,45704.8486892333,0.0015671184696633,0.0306943477647714,,55,0
287.798310,4.57728929e+4,1.26468665593498,45772.8929365208,0.00156919377918566,0.0314550592959622,,55,0
287.850620,4.70707993e+4,1.30223593295374,47070.7992507155,0.00161339556553999,0.0325051164709485,,55,0
287.900180,4.95044114e+4,1.37264192083085,49504.4113859685,0.00169651779831006,0.0331529526708254,,55,0
287.950320,5.24360478e+4,1.45745607720021,52436.0478334535,0.00179667217122203,0.0333043162406964,,55,0
288.000120,5.61279895e+4,1.5642663607048,56127.9895268258,0.00192284055423823,0.032652671044363,,55,0
288.052550,5.92631129e+4,1.65496752713076,59263.1129154941,0.00202987451625975,0.0310735813378479,,55,0
288.102170,5.91522181e+4,1.65175926810504,59152.2181133123,0.00202572720578059,0.0301401203710348,,55,0
288.150240,6.11021517e+4,1.70817211894497,61102.1516704964,0.00209215556446221,0.0292776074554171,,55,0
288.200200,6.20523895e+4,1.73566311998967,62052.3895092072,0.00212432366729039,0.028222667047536,,55,0
288.249940,6.33735297e+4,1.77388456869107,63373.529716046,0.00216917767821759,0.027063267951166,,55,0
288.300230,6.43042181e+4,1.80080999083121,64304.2180856408,0.00220064975834117,0.0256429979781442,,55,0
288.350520,6.41605032e+4,1.79665222450572,64160.5031703281,0.00219534852937688,0.0243640629823089,,55,0
288.400020,6.43263433e+4,1.80145008748336,64326.3432915698,0.00220064522351122,0.0231321904623533,,55,0
288.450710,6.36183031e+4,1.78096602264387,63618.3031052762,0.00217604025027156,0.0219620986609318,,55,0
288.500760,6.29049061e+4,1.76032698248873,62904.9061330018,0.00215126550088627,0.0208963147634987,,55,0
288.550320,6.11243441e+4,1.70881415953836,61124.3440695596,0.00209001357531796,0.0201807116455005,,55,0
288.600490,5.91926385e+4,1.65292865675857,59192.6385165178,0.0020236112752325,0.020105790348903,,55,0
288.649480,5.93492769e+4,1.65746030778286,59349.2769113187,0.00202862189326446,0.0197094158794114,,55,0
288.695530,5.72260933e+4,1.59603522044503,57226.0933233654,0.001955737192075,0.0194807453126625,,55,0
